instrument_name,expiry_name,expiry_date,strike,type,volume,open_interest,rho,theta,vega,gamma,delta,bid_iv,ask_iv,mark_iv
BTC-9MAR26-74000-P,9MAR26,2026-03-09,74000.0,put,0.0,0.0,-5.68994,-148.4469,20.26688,0.00008,-0.78623,0.0,65.89,51.35
BTC-9MAR26-74000-C,9MAR26,2026-03-09,74000.0,call,6.1,5.5,1.41722,-148.4469,20.26688,0.00008,0.21377,49.67,53.17,51.35
BTC-9MAR26-73500-P,9MAR26,2026-03-09,73500.0,put,0.0,0.0,-5.37195,-163.52854,22.34188,0.00009,-0.74512,42.93,64.87,51.32
BTC-9MAR26-72500-C,9MAR26,2026-03-09,72500.0,call,11.6,8.3,2.30384,-188.32863,25.75796,0.0001,0.34927,49.94,52.69,51.26
BTC-9MAR26-71000-P,9MAR26,2026-03-09,71000.0,put,18.1,14.3,-3.46874,-205.76275,27.7522,0.00011,-0.48836,50.13,52.69,51.98
BTC-9MAR26-70000-C,9MAR26,2026-03-09,70000.0,call,0.0,0.0,4.02648,-200.63632,26.52224,0.0001,0.61887,50.35,57.04,53.04
BTC-9MAR26-69500-C,9MAR26,2026-03-09,69500.0,call,0.3,0.3,4.3308,-193.86714,25.25925,0.0001,0.66817,51.89,57.5,53.81
BTC-9MAR26-68000-C,9MAR26,2026-03-09,68000.0,call,0.1,0.1,5.06195,-160.97962,19.98252,0.00007,0.79132,0.0,67.83,56.48
BTC-9MAR26-67000-C,9MAR26,2026-03-09,67000.0,call,0.0,0.0,5.38616,-135.39867,16.1689,0.00006,0.8508,48.61,68.6,58.71
BTC-8MAR26-82000-P,8MAR26,2026-03-08,82000.0,put,0.0,0.0,-5.5849,-21.19845,1.45965,0.00001,-0.99079,0.0,150.24,72.78
BTC-8MAR26-82000-C,8MAR26,2026-03-08,82000.0,call,60.1,133.3,0.04402,-13.01044,1.45965,0.00001,0.00921,73.57,77.53,72.78
BTC-8MAR26-78000-P,8MAR26,2026-03-08,78000.0,put,0.0,0.0,-5.20692,-48.91489,4.09437,0.00002,-0.96917,0.0,215.72,59.87
BTC-8MAR26-77000-P,8MAR26,2026-03-08,77000.0,put,0.0,0.0,-5.06215,-65.98842,5.75161,0.00003,-0.95323,0.0,113.79,57.49
BTC-8MAR26-76000-P,8MAR26,2026-03-08,76000.0,put,0.0,0.0,-4.87436,-88.65611,8.04917,0.00004,-0.92826,0.0,180.17,55.19
BTC-8MAR26-74000-C,8MAR26,2026-03-08,74000.0,call,10.8,24.1,0.82374,-155.19645,15.0488,0.00008,0.17289,50.75,52.63,51.68
BTC-8MAR26-71500-C,8MAR26,2026-03-08,71500.0,call,1.6,10.0,2.09446,-236.66443,23.23345,0.00013,0.44338,50.48,52.01,51.05
BTC-8MAR26-70000-C,8MAR26,2026-03-08,70000.0,call,0.0,50.0,2.98122,-231.41042,22.07514,0.00012,0.63687,48.48,56.52,52.53
BTC-8MAR26-69500-P,8MAR26,2026-03-08,69500.0,put,1.5,3.3,-1.5339,-219.5125,20.63275,0.00011,-0.30585,52.14,53.87,53.31
BTC-8MAR26-69000-C,8MAR26,2026-03-08,69000.0,call,10.0,5.0,3.45982,-204.89664,18.88644,0.0001,0.74513,51.23,64.12,54.36
BTC-8MAR26-67500-P,8MAR26,2026-03-08,67500.0,put,2.2,4.5,-0.7002,-151.45607,13.10392,0.00007,-0.14015,56.82,58.98,57.92
BTC-8MAR26-67000-P,8MAR26,2026-03-08,67000.0,put,113.6,129.6,-0.56815,-134.13494,11.33305,0.00006,-0.11378,58.18,60.07,59.31
BTC-8MAR26-66000-C,8MAR26,2026-03-08,66000.0,call,0.0,0.0,4.15751,-103.4091,8.30885,0.00004,0.92522,0.0,77.8,62.37
BTC-8MAR26-65000-C,8MAR26,2026-03-08,65000.0,call,0.0,0.0,4.21334,-79.5931,6.05251,0.00003,0.95016,0.0,91.73,65.9
BTC-8MAR26-63000-C,8MAR26,2026-03-08,63000.0,call,0.0,0.0,4.21389,-45.31817,3.11326,0.00001,0.97778,0.0,231.47,72.94
BTC-7MAR26-81000-C,7MAR26,2026-03-07,81000.0,call,13.8,13.3,0.02472,-10.93613,1.06437,0.00001,0.00859,80.93,87.89,85.1
BTC-7MAR26-77000-P,7MAR26,2026-03-07,77000.0,put,0.0,0.0,-3.07849,-77.86903,3.43298,0.00002,-0.96609,0.0,93.46,68.3
BTC-7MAR26-74000-P,7MAR26,2026-03-07,74000.0,put,10.3,7.6,-2.64419,-201.00368,10.25161,0.00008,-0.85793,0.0,69.15,59.04
BTC-7MAR26-73500-P,7MAR26,2026-03-07,73500.0,put,0.3,1.4,-2.5083,-233.00226,12.06423,0.0001,-0.81763,31.1,64.92,58.16
BTC-7MAR26-71000-P,7MAR26,2026-03-07,71000.0,put,14.1,16.1,-1.48414,-347.08573,18.18896,0.00015,-0.49205,54.75,58.66,57.46
BTC-7MAR26-70500-C,7MAR26,2026-03-07,70500.0,call,2.8,31.9,1.65257,-343.7333,17.79821,0.00015,0.58292,55.5,61.49,58.15
BTC-7MAR26-67500-P,7MAR26,2026-03-07,67500.0,put,3.6,30.3,-0.33173,-163.60276,8.6284,0.00006,-0.11096,63.93,66.43,65.64
BTC-7MAR26-67000-P,7MAR26,2026-03-07,67000.0,put,8.5,7.7,-0.26237,-127.49179,7.26936,0.00005,-0.08779,65.85,68.82,67.81
BTC-7MAR26-63000-C,7MAR26,2026-03-07,63000.0,call,0.0,0.0,2.55879,-44.11671,1.56134,0.00001,0.98666,0.0,131.07,85.08
BTC-7MAR26-60000-C,7MAR26,2026-03-07,60000.0,call,0.0,0.0,2.46044,-21.79207,0.63939,0.0,0.99517,0.0,160.38,102.63
BTC-6MAR26-77000-P,6MAR26,2026-03-06,77000.0,put,0.0,0.0,-1.06134,-17.10334,0.40327,0.00001,-0.99469,0.0,167.85,84.82
BTC-6MAR26-74000-P,6MAR26,2026-03-06,74000.0,put,102.0,128.6,-0.99451,-55.18699,1.85894,0.00004,-0.96877,0.0,89.15,59.37
BTC-6MAR26-74000-C,6MAR26,2026-03-06,74000.0,call,501.6,1187.9,0.03046,-18.91658,1.85912,0.00004,0.03124,56.6,63.86,59.37
BTC-6MAR26-73500-C,6MAR26,2026-03-06,73500.0,call,422.1,356.1,0.04821,-30.27574,2.70145,0.00007,0.04945,52.37,60.17,56.04
BTC-6MAR26-72500-C,6MAR26,2026-03-06,72500.0,call,39.0,35.6,0.13888,-99.64773,5.95584,0.00016,0.14263,49.65,54.43,52.16
BTC-6MAR26-72000-P,6MAR26,2026-03-06,72000.0,put,56.9,89.3,-0.76613,-212.63274,8.17147,0.00022,-0.76228,27.27,58.07,52.04
BTC-6MAR26-71000-C,6MAR26,2026-03-06,71000.0,call,150.5,337.9,0.48744,-273.00068,10.54097,0.00029,0.50335,50.59,53.96,51.8
BTC-6MAR26-69000-P,6MAR26,2026-03-06,69000.0,put,114.1,405.3,-0.10077,-78.08603,4.68376,0.00011,-0.10138,59.24,62.27,60.76
BTC-6MAR26-69000-C,6MAR26,2026-03-06,69000.0,call,27.0,1265.0,0.85492,-142.31258,4.68405,0.00011,0.89861,46.58,92.33,60.76
BTC-6MAR26-66500-C,6MAR26,2026-03-06,66500.0,call,0.0,46.9,0.9045,-45.61329,1.09571,0.00002,0.98333,0.0,134.05,83.26
BTC-6MAR26-63000-P,6MAR26,2026-03-06,63000.0,put,110.9,707.7,-0.00269,-2.51357,0.21967,0.0,-0.0027,0.0,129.99,116.33
BTC-6MAR26-62000-P,6MAR26,2026-03-06,62000.0,put,48.1,905.5,-0.00153,-1.46119,0.13201,0.0,-0.00154,0.0,145.41,123.99
BTC-6MAR26-62000-C,6MAR26,2026-03-06,62000.0,call,0.2,28.2,0.85722,-8.18414,0.13201,0.0,0.99846,0.0,249.0,123.99
BTC-6MAR26-61000-P,6MAR26,2026-03-06,61000.0,put,10.8,254.2,-0.00113,-1.14122,0.09967,0.0,-0.00113,0.0,160.93,134.68
BTC-6MAR26-58000-P,6MAR26,2026-03-06,58000.0,put,62.0,4367.1,-0.00009,-0.08315,0.00941,0.0,-0.00009,0.0,208.35,146.05
BTC-29MAY26-96000-C,29MAY26,2026-05-29,96000.0,call,0.3,5.3,19.45839,-21.56959,73.48402,0.00001,0.13193,49.3,49.78,49.61
BTC-29MAY26-88000-C,29MAY26,2026-05-29,88000.0,call,0.5,73.6,32.34955,-29.77385,102.50941,0.00002,0.22265,48.3,49.01,49.09
BTC-29MAY26-84000-P,29MAY26,2026-05-29,84000.0,put,0.0,0.0,-153.57153,-33.70516,116.59676,0.00002,-0.71571,47.31,50.38,48.86
BTC-29MAY26-80000-P,29MAY26,2026-05-29,80000.0,put,0.0,0.7,-134.12529,-37.44203,128.63689,0.00002,-0.64002,48.27,50.49,49.19
BTC-29MAY26-79000-P,29MAY26,2026-05-29,79000.0,put,3.7,3.6,-129.04356,-38.35639,131.04615,0.00002,-0.61881,48.29,50.74,49.47
BTC-29MAY26-70000-P,29MAY26,2026-05-29,70000.0,put,21.5,159.4,-83.49923,-40.44639,134.27283,0.00002,-0.41808,50.59,51.12,50.91
BTC-29MAY26-69000-P,29MAY26,2026-05-29,69000.0,put,0.5,8.0,-78.66679,-40.13447,132.42723,0.00002,-0.39534,50.88,51.42,51.22
BTC-29MAY26-67000-P,29MAY26,2026-05-29,67000.0,put,1.4,18.8,-69.30741,-39.09185,127.46659,0.00002,-0.3508,51.49,52.05,51.83
BTC-29MAY26-67000-C,29MAY26,2026-05-29,67000.0,call,0.1,67.5,85.81238,-39.09185,127.46659,0.00002,0.6492,51.25,52.38,51.83
BTC-29MAY26-66000-C,29MAY26,2026-05-29,66000.0,call,5.5,54.3,87.98065,-38.40713,124.40018,0.00002,0.67081,51.58,52.73,52.18
BTC-29MAY26-61000-P,29MAY26,2026-05-29,61000.0,put,7.2,15.4,-44.80114,-33.58468,104.57898,0.00002,-0.23067,53.86,54.54,54.28
BTC-29MAY26-60000-P,29MAY26,2026-05-29,60000.0,put,0.6,73.7,-41.36814,-32.45314,100.04368,0.00002,-0.21344,54.4,55.11,54.83
BTC-29MAY26-59000-P,29MAY26,2026-05-29,59000.0,put,0.6,10.4,-38.0058,-31.13454,95.26955,0.00001,-0.19659,55.14,55.51,55.23
BTC-29MAY26-59000-C,29MAY26,2026-05-29,59000.0,call,0.0,0.0,98.59222,-31.13454,95.26955,0.00001,0.80341,53.34,56.72,55.23
BTC-29MAY26-57000-P,29MAY26,2026-05-29,57000.0,put,1.0,4.4,-32.19037,-28.81502,86.01557,0.00001,-0.16698,56.13,56.96,56.62
BTC-29MAY26-57000-C,29MAY26,2026-05-29,57000.0,call,0.0,0.0,99.77721,-28.81502,86.01557,0.00001,0.83302,54.56,57.9,56.62
BTC-29MAY26-54000-C,29MAY26,2026-05-29,54000.0,call,0.0,0.0,100.3873,-25.00498,72.09179,0.00001,0.87167,56.19,60.18,58.62
BTC-29MAY26-52000-P,29MAY26,2026-05-29,52000.0,put,0.0,17.2,-20.58457,-22.67907,63.54934,0.00001,-0.10739,59.72,60.29,60.32
BTC-29MAY26-48000-P,29MAY26,2026-05-29,48000.0,put,129.0,160.1,-14.12726,-18.19363,48.10554,0.00001,-0.07386,63.12,64.61,63.92
BTC-29MAY26-48000-C,29MAY26,2026-05-29,48000.0,call,0.0,0.0,97.00334,-18.19363,48.10554,0.00001,0.92614,60.27,66.32,63.92
BTC-29MAY26-40000-P,29MAY26,2026-05-29,40000.0,put,7.7,27.7,-6.41295,-11.03897,25.62806,0.0,-0.0335,72.05,73.45,72.8
BTC-27MAR26-96000-C,27MAR26,2026-03-27,96000.0,call,22.1,2559.2,1.09811,-15.87526,11.00132,0.00001,0.02772,61.27,63.19,62.07
BTC-27MAR26-92000-P,27MAR26,2026-03-27,92000.0,put,0.0,849.3,-52.62404,-20.0854,14.84935,0.00001,-0.96009,0.0,70.12,58.18
